epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1342.57,0.65865,0.32893,0.93563,0.98476,0.98487,0.98697,0.74019,0.89544,0.36464,1.07468,0.000122275,0.000122275,0.000122275
61,1363.48,0.63908,0.3233,0.92773,0.98767,0.98796,0.98824,0.73912,0.89991,0.35852,1.0763,0.000119364,0.000119364,0.000119364
62,1384.95,0.64175,0.31969,0.92566,0.98287,0.98641,0.98884,0.7369,0.89545,0.36132,1.08104,0.000116453,0.000116453,0.000116453
63,1407.13,0.64794,0.32531,0.9322,0.98448,0.98482,0.98639,0.7346,0.90586,0.36339,1.0742,0.000113543,0.000113543,0.000113543
64,1428.41,0.64212,0.32498,0.93075,0.98404,0.98226,0.98719,0.74366,0.89832,0.35893,1.0772,0.000110632,0.000110632,0.000110632
65,1450.7,0.6342,0.32073,0.92723,0.98381,0.98283,0.98628,0.74356,0.88851,0.35442,1.07563,0.000107722,0.000107722,0.000107722
66,1476.17,0.62063,0.31673,0.92337,0.98724,0.98608,0.98932,0.73953,0.89365,0.35294,1.07468,0.000104811,0.000104811,0.000104811
67,1497.99,0.6388,0.32359,0.92924,0.98737,0.98355,0.99047,0.73964,0.89516,0.35596,1.07054,0.0001019,0.0001019,0.0001019
68,1520.41,0.62023,0.31185,0.92114,0.9816,0.98427,0.98774,0.73924,0.89031,0.35365,1.07409,9.89898e-05,9.89898e-05,9.89898e-05
69,1542.01,0.62988,0.32374,0.92646,0.98515,0.98583,0.98858,0.73868,0.89739,0.35663,1.07909,9.60792e-05,9.60792e-05,9.60792e-05
70,1563.01,0.62286,0.31561,0.92324,0.98006,0.98854,0.99056,0.73811,0.89432,0.35621,1.06985,9.31686e-05,9.31686e-05,9.31686e-05
71,1585.32,0.61399,0.31183,0.92225,0.98137,0.98408,0.98653,0.73874,0.90506,0.36216,1.09091,9.0258e-05,9.0258e-05,9.0258e-05
72,1606.79,0.61218,0.31096,0.91738,0.98526,0.98779,0.98877,0.73917,0.90318,0.36174,1.0905,8.73474e-05,8.73474e-05,8.73474e-05
73,1627.48,0.61272,0.30971,0.92071,0.9851,0.9846,0.98943,0.74272,0.90091,0.36459,1.08784,8.44368e-05,8.44368e-05,8.44368e-05
74,1648.36,0.60944,0.30413,0.91906,0.98543,0.98509,0.9895,0.73685,0.90621,0.36195,1.08598,8.15262e-05,8.15262e-05,8.15262e-05
75,1669.98,0.59833,0.305,0.91563,0.984,0.9839,0.98665,0.7356,0.90209,0.36555,1.0937,7.86156e-05,7.86156e-05,7.86156e-05
76,1691.95,0.60763,0.30462,0.91363,0.98117,0.98618,0.98537,0.73718,0.9048,0.36957,1.08976,7.5705e-05,7.5705e-05,7.5705e-05
77,1717.11,0.60002,0.30634,0.91109,0.98724,0.98426,0.98802,0.7396,0.90561,0.36436,1.09042,7.27944e-05,7.27944e-05,7.27944e-05
78,1739.11,0.58379,0.29668,0.91458,0.98138,0.98487,0.98556,0.73631,0.91692,0.36036,1.09413,6.98838e-05,6.98838e-05,6.98838e-05
79,1760.28,0.57466,0.29055,0.90417,0.98321,0.98404,0.98672,0.73933,0.90466,0.36253,1.09236,6.69732e-05,6.69732e-05,6.69732e-05
80,1780.81,0.58174,0.29036,0.90675,0.98085,0.98691,0.98525,0.73561,0.90755,0.36249,1.09394,6.40626e-05,6.40626e-05,6.40626e-05
81,1801.84,0.56621,0.28676,0.90048,0.9834,0.98741,0.98508,0.73199,0.90748,0.3614,1.09756,6.1152e-05,6.1152e-05,6.1152e-05
82,1823.06,0.58106,0.29596,0.90807,0.98421,0.98448,0.98526,0.73269,0.90781,0.35255,1.09829,5.82414e-05,5.82414e-05,5.82414e-05
83,1845.19,0.57487,0.28878,0.90706,0.98311,0.98371,0.98471,0.7353,0.90801,0.3503,1.08988,5.53308e-05,5.53308e-05,5.53308e-05
84,1867.2,0.58002,0.29514,0.90836,0.98334,0.98519,0.98474,0.73644,0.91367,0.35257,1.09253,5.24202e-05,5.24202e-05,5.24202e-05
85,1888.44,0.56393,0.28555,0.90234,0.98493,0.98684,0.98662,0.73378,0.90994,0.3601,1.09264,4.95096e-05,4.95096e-05,4.95096e-05
86,1910.6,0.54702,0.28082,0.89665,0.98119,0.98454,0.98416,0.73169,0.9037,0.3693,1.09289,4.6599e-05,4.6599e-05,4.6599e-05
87,1932.47,0.55558,0.2797,0.89712,0.97822,0.98625,0.98431,0.73351,0.90593,0.36391,1.09584,4.36884e-05,4.36884e-05,4.36884e-05
88,1953.55,0.53962,0.27459,0.89326,0.98357,0.98522,0.98437,0.73424,0.90168,0.36494,1.09561,4.07778e-05,4.07778e-05,4.07778e-05
89,1975.16,0.56129,0.28586,0.90322,0.98384,0.98403,0.98472,0.73521,0.90255,0.36461,1.10132,3.78672e-05,3.78672e-05,3.78672e-05
90,1996.46,0.54645,0.27786,0.89669,0.98275,0.98379,0.98503,0.73377,0.9057,0.37079,1.1004,3.49566e-05,3.49566e-05,3.49566e-05
91,2020.05,0.47841,0.23072,0.86325,0.98138,0.98349,0.98476,0.73221,0.91192,0.36908,1.10524,3.2046e-05,3.2046e-05,3.2046e-05
92,2041.49,0.47268,0.22737,0.8574,0.98237,0.984,0.9848,0.73131,0.91338,0.36803,1.10857,2.91354e-05,2.91354e-05,2.91354e-05
93,2062.23,0.46324,0.2226,0.85954,0.98263,0.98461,0.98449,0.73108,0.91382,0.35856,1.10739,2.62248e-05,2.62248e-05,2.62248e-05
94,2082.33,0.45944,0.22325,0.85481,0.98285,0.98419,0.98403,0.73095,0.91239,0.36792,1.10798,2.33142e-05,2.33142e-05,2.33142e-05
95,2102.94,0.45504,0.21946,0.85135,0.98299,0.98446,0.98377,0.73347,0.90932,0.36343,1.10635,2.04036e-05,2.04036e-05,2.04036e-05
96,2123.34,0.45111,0.22022,0.85825,0.98291,0.98443,0.9836,0.73294,0.9105,0.36286,1.10909,1.7493e-05,1.7493e-05,1.7493e-05
97,2144.91,0.44443,0.21783,0.85079,0.98214,0.98469,0.98372,0.73229,0.91242,0.36273,1.10958,1.45824e-05,1.45824e-05,1.45824e-05
98,2166.12,0.44029,0.21532,0.85179,0.98264,0.98404,0.98374,0.73486,0.90858,0.36231,1.10811,1.16718e-05,1.16718e-05,1.16718e-05
99,2187.09,0.43939,0.21347,0.84681,0.98247,0.98333,0.98379,0.73325,0.90905,0.36228,1.10855,8.7612e-06,8.7612e-06,8.7612e-06
100,2207.34,0.43653,0.21309,0.84725,0.98301,0.98343,0.98404,0.7339,0.91006,0.36212,1.11089,5.8506e-06,5.8506e-06,5.8506e-06
